t=2026-08-05T13:52:07+0700 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-08-05T13:52:07+0700 lvl=info msg="no configuration paths supplied"
t=2026-08-05T13:52:07+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-05T13:52:07+0700 lvl=info msg="open config file" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-05T13:52:07+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-05T13:52:07+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-05T14:03:47+0700 lvl=info msg="join connections" obj=join id=11bc27fc7de9 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:47+0700 lvl=info msg="join connections" obj=join id=3ff9c198a75e l=127.0.0.1:5173 r=27.67.93.159:5017
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=6f36175ae969 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=5cac557becf7 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=b37c563d5bb4 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=6d8ff5524b54 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=9476ad7e8570 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=e314f73e0fd2 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=8482a2e91e6e l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=881d069ae6b3 l=127.0.0.1:5173 r=27.67.93.159:29776
t=2026-08-05T14:03:48+0700 lvl=info msg="join connections" obj=join id=58141160b8a8 l=127.0.0.1:5173 r=27.67.93.159:29776
